fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.01576,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.00548,0.00857,0.00853,0.98,0.00078,3.42644,0.55681,7.32247,0.4863,1.19309,0.015,0.44877,0.57131,0.0,0.09271,0.64331,0.0,0.0,0.0,0.58747,0.0,0.95552,0.0,0.0
0.00756,0.00998,0.00986,0.9367,0.0005,2.9193,0.80736,7.49539,0.50732,1.49021,0.015,0.68802,0.39716,0.0,0.09816,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.00346,0.01027,0.01066,0.98,0.00057,2.70726,0.86986,7.5,0.47478,1.5899,0.01552,0.67411,0.4,0.0,0.08365,0.49068,0.0,0.0,0.0,0.46739,0.0,0.91207,0.0,0.0
0.00715,0.00857,0.0089,0.97484,0.00046,3.42644,0.50223,6.18455,0.4863,0.75731,0.01541,0.49074,0.57131,0.0,0.10471,0.57874,0.0,0.0,0.0,0.58724,0.0,0.88263,0.0,0.0
0.00589,0.01184,0.00986,0.96495,0.0005,3.10783,0.84586,7.49539,0.50732,1.70536,0.01511,0.57479,0.4494,0.0,0.10561,0.51604,0.0,0.0,0.0,0.47945,0.0,1.0,0.0,0.0
0.01556,0.01165,0.00817,0.91369,0.00047,2.83536,0.78268,8.9883,0.50732,1.40014,0.01411,0.54403,0.44587,0.0,0.08522,0.48337,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.01549,0.00925,0.00838,0.89913,0.00043,2.69738,0.84029,8.59432,0.50975,1.31042,0.01663,0.46187,0.45108,0.0,0.09268,0.48337,0.0,0.0,0.0,0.46568,0.0,0.85122,0.0,0.0
0.01031,0.01122,0.00814,0.89778,0.00046,2.82718,0.78714,8.9883,0.45921,1.49975,0.01258,0.52292,0.43294,0.0,0.08314,0.47498,0.0,0.0,0.0,0.49435,0.0,1.0,0.0,0.0
0.01098,0.0155,0.00586,0.94743,0.00047,2.46549,0.78268,8.91512,0.42791,1.05656,0.0157,0.71402,0.41426,0.0,0.08522,0.35276,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.01089,0.01,0.00965,0.95117,0.00047,3.0,0.81031,7.32181,0.43984,1.78573,0.01805,0.70021,0.32271,0.0,0.12113,0.59619,0.0,0.0,0.0,0.5,0.0,0.83383,0.0,0.0
0.0058,0.01165,0.0087,0.94178,0.00037,2.77593,0.58697,8.9883,0.48198,1.49677,0.0136,0.54403,0.45126,0.0,0.08178,0.46236,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.01773,0.01165,0.00822,0.91825,0.00048,2.83536,0.78394,8.94441,0.51137,1.38654,0.01436,0.54351,0.43243,0.0,0.08522,0.48337,0.0,0.0,0.0,0.49507,0.0,1.0,0.0,0.0
0.01504,0.01156,0.01081,0.937,0.00061,2.95591,0.80509,7.5,0.50923,1.68465,0.0151,0.70616,0.40618,0.0,0.09157,0.50951,0.0,0.0,0.0,0.46369,0.0,1.0,0.0,0.0
0.01515,0.01003,0.00859,0.86076,0.00056,2.20921,0.76047,9.50755,0.59162,1.36202,0.01251,0.61291,0.34433,0.0,0.08522,0.43738,0.0,0.0,0.0,0.49507,0.0,1.0,0.0,0.0
