                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2903,                 1.3267,                  1.565,                0.74891,                0.59558,                0.64477,                0.43426,                 1.3655,                   1.34,                 1.7234,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.2839,                 1.3324,                 1.5613,                0.64583,                0.64094,                0.65585,                 0.4358,                 1.3331,                 1.3669,                 1.7167,               0.000948,               0.000948,               0.000948
                     36,                 1.2632,                 1.2965,                 1.5498,                0.68165,                0.59212,                0.63915,                0.44855,                 1.3268,                 1.3092,                 1.7029,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.2643,                 1.2753,                 1.5328,                0.64312,                0.59866,                0.61163,                0.41968,                 1.3089,                 1.4367,                 1.6859,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.2526,                 1.2793,                 1.5568,                0.74237,                0.57899,                0.65172,                0.43403,                 1.3568,                 1.3943,                  1.718,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.2385,                 1.2576,                 1.5455,                0.62212,                0.61767,                0.61359,                 0.4208,                 1.3376,                  1.417,                 1.7282,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.2078,                 1.2332,                 1.5172,                0.63887,                0.59761,                0.63076,                 0.4344,                 1.3042,                 1.3988,                 1.6898,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.2174,                 1.2235,                 1.5166,                0.73928,                0.57183,                0.63363,                0.44473,                 1.2892,                 1.4298,                 1.6666,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.2306,                 1.2264,                 1.5246,                0.72079,                0.59149,                0.63879,                0.44588,                 1.3063,                 1.2935,                 1.6901,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.2026,                 1.2034,                 1.5135,                0.61641,                0.59975,                0.61979,                 0.4435,                  1.292,                 1.3394,                  1.681,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.1906,                 1.1827,                 1.4956,                0.64937,                0.65676,                0.66739,                0.45818,                 1.2672,                 1.2869,                 1.6637,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.1739,                 1.1751,                 1.4946,                0.67283,                0.56814,                0.61629,                0.43473,                 1.2836,                 1.3096,                 1.6839,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.1596,                 1.1497,                 1.4843,                0.63698,                0.63796,                0.63777,                0.45243,                 1.2944,                 1.2975,                 1.6754,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.1561,                 1.1439,                 1.4859,                 0.6445,                0.62428,                0.64258,                0.45064,                 1.2836,                 1.2691,                 1.6858,             0.00077823,             0.00077823,             0.00077823
                     48,                  1.156,                  1.125,                  1.479,                0.64682,                0.63372,                0.64262,                0.44966,                 1.2752,                 1.2643,                 1.6826,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.1505,                 1.1209,                 1.4734,                0.71256,                0.63614,                0.67345,                0.47705,                  1.254,                 1.2993,                 1.6652,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.1539,                 1.1297,                 1.4813,                0.72606,                0.59631,                0.64033,                0.44966,                 1.2735,                 1.3123,                 1.6909,             0.00073579,             0.00073579,             0.00073579
