                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4115,                 1.3661,                   1.62,                0.55854,                0.55621,                0.55193,                0.34134,                 1.4355,                 1.3455,                 1.6345,              0.0011956,              0.0011956,              0.0011956
                     35,                 1.4001,                 1.3816,                  1.622,                0.58875,                0.56566,                0.57084,                0.37753,                 1.3222,                 1.2479,                 1.5439,              0.0011885,              0.0011885,              0.0011885
                     36,                 1.3929,                 1.3546,                 1.6116,                0.60312,                0.56583,                0.56733,                 0.3722,                 1.3051,                 1.2839,                 1.5359,              0.0011814,              0.0011814,              0.0011814
                     37,                 1.3899,                 1.3347,                  1.601,                0.62854,                0.55707,                0.59136,                0.37101,                 1.3677,                 1.2896,                 1.5978,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.3678,                 1.3312,                 1.5957,                0.65775,                0.50603,                0.57488,                0.36694,                 1.4075,                 1.2628,                 1.6206,              0.0011673,              0.0011673,              0.0011673
                     39,                 1.3407,                 1.2923,                 1.5676,                0.58968,                0.54979,                 0.5695,                 0.3799,                 1.2798,                 1.2423,                 1.5292,              0.0011602,              0.0011602,              0.0011602
                     40,                 1.3383,                 1.2915,                 1.5621,                0.58271,                0.55465,                0.58428,                0.39199,                 1.2685,                 1.1986,                 1.5344,              0.0011531,              0.0011531,              0.0011531
                     41,                  1.324,                 1.2533,                 1.5613,                0.55635,                0.56831,                0.57695,                0.37698,                 1.3107,                 1.2689,                 1.5611,              0.0011461,              0.0011461,              0.0011461
                     42,                 1.3099,                 1.2306,                 1.5516,                0.60148,                 0.5671,                0.58419,                0.39919,                 1.2034,                 1.2184,                 1.4934,               0.001139,               0.001139,               0.001139
                     43,                  1.312,                 1.2325,                 1.5516,                0.57695,                0.59288,                0.59381,                0.38155,                 1.3195,                 1.2379,                 1.5577,              0.0011319,              0.0011319,              0.0011319
                     44,                 1.2906,                 1.1938,                   1.53,                0.60449,                0.52872,                0.56628,                0.37152,                  1.337,                 1.2521,                 1.5799,              0.0011248,              0.0011248,              0.0011248
                     45,                 1.3134,                 1.2055,                 1.5372,                0.63729,                0.52673,                0.57931,                0.37382,                 1.3339,                 1.2564,                 1.5684,              0.0011178,              0.0011178,              0.0011178
