                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6433,                 3.9516,                 2.8594,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070309,               0.003299,               0.003299
                      2,                 2.5554,                 3.3859,                 2.8927,                0.00749,                0.00265,                0.00083,                0.00028,                  3.096,                  10.93,                 4.7654,               0.040244,              0.0065666,              0.0065666
                      3,                 2.4112,                 3.2231,                 2.7098,                 0.0002,                0.00088,                 0.0001,                  7e-05,                 3.3199,                 8.6752,                 3.7008,               0.010112,              0.0097683,              0.0097683
                      4,                  2.331,                 3.1894,                  2.666,                0.00219,                0.11018,                0.00131,                0.00032,                 3.1861,                 5.3579,                 3.5542,               0.009703,               0.009703,               0.009703
                      5,                 2.2979,                 3.2107,                 2.6471,                0.67208,                0.00794,                0.00105,                0.00047,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      6,                 2.2336,                 3.0071,                 2.5304,                0.68269,                0.02116,                0.00935,                0.00368,                 2.7198,                 4.6214,                 3.0226,               0.009505,               0.009505,               0.009505
                      7,                  2.182,                 2.9438,                 2.4831,                0.35482,                0.02204,                0.01371,                0.00513,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      8,                 2.1716,                 2.9385,                 2.4631,                0.03994,                0.25558,                0.05529,                0.02551,                 2.4201,                 4.5499,                 2.6524,               0.009307,               0.009307,               0.009307
                      9,                 2.1272,                 2.8247,                 2.3858,                0.70745,                0.03439,                0.03771,                 0.0178,                 2.4747,                 4.5448,                 2.6816,               0.009208,               0.009208,               0.009208
                     10,                 2.0787,                 2.7134,                  2.367,                0.69588,                0.03836,                 0.0136,                0.00671,                 2.4445,                 5.1672,                 2.7313,               0.009109,               0.009109,               0.009109
                     11,                 2.0597,                  2.712,                 2.3402,                0.35309,                0.04673,                0.02105,                 0.0074,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     12,                 2.0171,                 2.6829,                 2.2923,                0.02814,                0.05554,                0.01993,                0.00777,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     13,                 2.0527,                 2.7254,                 2.3151,                0.03167,                0.04319,                0.01835,                0.00698,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     14,                 2.0173,                 2.6425,                 2.2829,                0.02706,                0.05948,                0.02696,                0.00966,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     15,                 1.9986,                 2.6067,                 2.2665,                0.37139,                0.06298,                0.05072,                0.02243,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     16,                 1.9901,                 2.5178,                 2.2371,                0.10543,                0.17971,                0.04537,                0.01783,                 2.2944,                 3.9571,                 2.5867,               0.008515,               0.008515,               0.008515
                     17,                 1.9978,                 2.5914,                 2.2521,                0.35873,                0.16614,                0.02404,                0.00958,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     18,                 1.9419,                 2.4952,                 2.1774,                0.46688,                0.16934,                0.07849,                0.03043,                 2.1838,                 3.4196,                 2.4294,               0.008317,               0.008317,               0.008317
                     19,                 1.8855,                 2.4417,                 2.1581,                0.37345,                0.13889,                0.02018,                0.00781,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     20,                 1.9029,                 2.3678,                 2.1598,                0.36338,                0.20635,                0.02491,                 0.0091,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     21,                 1.8872,                 2.3615,                 2.1554,                0.37978,                0.09392,                0.03717,                0.01543,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     22,                 1.8543,                 2.3421,                 2.1225,                0.40818,                0.17063,                0.03728,                0.01402,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     23,                 1.8329,                 2.2559,                 2.1114,                0.37724,                0.23598,                 0.0276,                0.01066,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     24,                 1.9218,                 2.3863,                 2.1923,                0.37226,                0.18598,                0.02704,                0.01122,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     25,                 1.8597,                 2.2906,                 2.1178,                0.04707,                0.32583,                0.03143,                  0.013,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     26,                 1.8343,                 2.2226,                 2.0912,                0.12134,                0.16693,                0.06991,                0.03036,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     27,                 1.8261,                 2.2675,                 2.1006,                0.04027,                0.20608,                0.02857,                0.01188,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     28,                 1.8172,                 2.2332,                 2.0686,                0.53472,                0.18413,                 0.1179,                0.05293,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     29,                 1.8203,                  2.227,                 2.0703,                0.37847,                0.20356,                0.05414,                0.02249,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     30,                 1.8307,                 2.2438,                 2.1003,                0.53197,                0.19735,                0.11494,                 0.0509,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     31,                 1.7935,                 2.2203,                 2.0564,                0.16795,                 0.2649,                0.07956,                0.03224,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     32,                 1.7744,                 2.1508,                   2.04,                0.12026,                0.24731,                0.07717,                0.03429,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     33,                 1.7953,                 2.2012,                 2.0606,                0.45134,                0.23608,                 0.0805,                0.03258,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     34,                 1.7275,                 2.0625,                 2.0033,                0.17741,                0.23261,                 0.1278,                0.05863,                 2.0985,                    nan,                 2.4402,               0.006733,               0.006733,               0.006733
                     35,                 1.7379,                 2.0725,                 2.0072,                0.39246,                0.26221,                0.04388,                0.01757,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     36,                 1.7147,                 1.9992,                 1.9792,                0.42425,                 0.2621,                0.06504,                0.02467,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     37,                 1.7142,                 2.0287,                 2.0018,                0.43727,                 0.2291,                 0.0741,                0.03245,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     38,                 1.7526,                 2.0777,                 2.0146,                0.13094,                0.30774,                0.06807,                0.03111,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     39,                 1.7272,                  2.013,                 2.0204,                0.45313,                0.20529,                0.08109,                 0.0353,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     40,                 1.7313,                 2.0108,                 1.9855,                 0.4964,                 0.2535,                0.11429,                0.04808,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     41,                 1.7248,                 2.0418,                 1.9819,                0.25469,                0.26559,                0.10248,                0.04453,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
