                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91391,                0.91695,                 1.0705,                0.66677,                0.51302,                0.55637,                0.36073,                 1.1049,                  1.202,                 1.2661,              0.0072289,              0.0072289,              0.0072289
                     36,                0.89903,                0.89939,                 1.0602,                0.63307,                0.53042,                0.56294,                0.35361,                 1.1322,                 1.1945,                 1.2645,              0.0071862,              0.0071862,              0.0071862
                     37,                0.90387,                0.90782,                 1.0537,                0.61371,                0.53658,                0.56175,                0.36779,                 1.0539,                 1.1791,                  1.231,              0.0071436,              0.0071436,              0.0071436
                     38,                 0.8864,                0.87846,                 1.0563,                0.65578,                0.54472,                0.56756,                0.36971,                 1.0798,                 1.1734,                 1.2382,              0.0071009,              0.0071009,              0.0071009
                     39,                0.88362,                0.88508,                 1.0438,                0.66636,                0.51286,                 0.5478,                0.36606,                 1.0967,                 1.1897,                 1.2532,              0.0070582,              0.0070582,              0.0070582
                     40,                0.86962,                0.86903,                 1.0376,                0.61556,                0.53589,                0.55802,                0.34632,                 1.1694,                 1.2164,                  1.306,              0.0070155,              0.0070155,              0.0070155
                     41,                0.87612,                0.86956,                 1.0413,                0.65926,                0.52471,                0.55178,                0.35855,                 1.1158,                  1.224,                 1.2668,              0.0069728,              0.0069728,              0.0069728
                     42,                0.86235,                0.84298,                 1.0296,                 0.6763,                0.51365,                0.56314,                0.36268,                 1.1041,                 1.2207,                 1.2636,              0.0069302,              0.0069302,              0.0069302
                     43,                0.85527,                0.83733,                 1.0251,                0.63731,                0.52718,                0.55954,                0.35379,                 1.1345,                 1.2021,                 1.2817,              0.0068875,              0.0068875,              0.0068875
                     44,                0.84726,                 0.8307,                 1.0252,                0.66405,                 0.5262,                0.55654,                0.34543,                 1.1889,                 1.1994,                   1.32,              0.0068448,              0.0068448,              0.0068448
